/Users/ggarcia/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading environment variables from .env file in $HOME/.sfdc...
Connected to Salesforce successfully!
Start Date: 2024-09-16
End Date: 2024-09-30
Current Quarter: Q3
SOQL Query: 
    SELECT Name, Amount, CloseDate, ForecastCategoryName, Owner_Area__c, Distributor__c, StageName, IsClosed
    FROM Opportunity
    WHERE CloseDate >= 2024-09-16 
    AND CloseDate <= 2024-09-30
    AND IsClosed = False
    AND Owner_Area__c LIKE '%SOLA%'
    ORDER BY CloseDate ASC
    
Total records retrieved: 849
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW-BOLSA-W38 SEPTIEMBRE 16, CloseDate: 2024-09-16, Area: SOLA - Colombia, Amount: 1595.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW CORSAN, CloseDate: 2024-09-16, Area: SOLA - Colombia, Amount: 1169.02
Distributor: a0N3400000TSoUvEAL, Opportunity: Cirion FAC, CloseDate: 2024-09-16, Area: SOLA - Argentina, Amount: 855.6
Distributor: a0N30000000WGdSEAW, Opportunity: POWER INJECTOR JUNJI, CloseDate: 2024-09-16, Area: SOLA - Chile, Amount: 1670.4
Distributor: a0N8000000Ajer4EAB, Opportunity: SECURITY NETWORKING - OLMOS, CloseDate: 2024-09-16, Area: SOLA - Peru, Amount: 28782.88
Distributor: a0N30000000WGdSEAW, Opportunity: DDXLA - AR - AT&T / IHG AR / FG61x1 + FCx1, CloseDate: 2024-09-16, Area: SOLA - Argentina, Amount: 1800.3
Distributor: a0N2H00000VO1GxUAL, Opportunity: PY - Emotion - BFamiliar - FG-200F, CloseDate: 2024-09-16, Area: SOLA - BPUV, Amount: 19010.38
Distributor: a0N3400000TSoY4EAL, Opportunity: TLF Uniciencia, CloseDate: 2024-09-16, Area: SOLA - Colombia, Amount: 13641.77
Distributor: a0N30000000WGdSEAW, Opportunity: Raizen - DACAS - Access Point growth ver1, CloseDate: 2024-09-16, Area: SOLA - Argentina, Amount: 7839.0
Distributor: a0N3400000TSoY4EAL, Opportunity: Q2-2024-Cross Sell-Hospital Militar Central (Named/G/DRD), CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 117463.35
Distributor: a0N3400000LcbhyEAB, Opportunity: TCCT_Municipalidad de Linares_SDWAN, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 63092.89
Distributor: a0N3400000TSoY4EAL, Opportunity: TIGO-MRP-SDWAN Y SDBRANCH H2, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 289756.08
Distributor: a0N3400000LcbhyEAB, Opportunity: TCCT_EA TELEFONICA CHILE, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 614465.0
Distributor: a0N3400000TSnDvEAL, Opportunity: TCCT_Telefonica Empresas Chile_Licencias, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 5807.5
